unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,lat2,lon2
13781377,JJ188905,2025-03-19,016Xx W Wilson Ave,1130,Deceptive Practice,Fraud Or Confidence Game,Apartment,False,False,1912,19,47,3,11,1164699.0,1930617.0,2025,2025-03-27,41.965226232,-87.669823577,41.965226232,-87.669823577
13780501,JJ187563,2025-03-19,009Xx N Laramie Ave,1365,Criminal Trespass,To Residence,Residence,False,False,1531,15,37,25,26,1141518.0,1905847.0,2025,2025-03-27,41.8977158,-87.755669081,41.8977158,-87.755669081
13784426,JJ192164,2025-03-19,032Xx W Belmont Ave,0860,Theft,Retail Theft,Small Retail Store,False,False,1733,17,35,21,06,1153997.0,1921094.0,2025,2025-03-27,41.939315143,-87.70942733,41.939315143,-87.70942733
13781250,JJ188544,2025-03-19,038Xx N Sawyer Ave,1130,Deceptive Practice,Fraud Or Confidence Game,Apartment,False,False,1733,17,33,16,11,1154038.0,1925366.0,2025,2025-03-28,41.951036997,-87.70916231,41.951036997,-87.70916231
13780574,JJ187548,2025-03-19,080Xx S Wood St,031A,Robbery,Armed - Handgun,Residence,False,False,611,6,17,71,03,1165749.0,1851274.0,2025,2025-03-27,41.747479417,-87.668222745,41.747479417,-87.668222745
13780542,JJ187520,2025-03-19,056Xx S Wabash Ave,2825,Other Offense,Harassment By Telephone,Apartment,False,True,225,2,20,40,26,1177676.0,1867670.0,2025,2025-03-27,41.792210513,-87.624023407,41.792210513,-87.624023407
13780359,JJ187495,2025-03-19,037Xx W Douglas Blvd,143A,Weapons Violation,Unlawful Possession - Handgun,Street,True,False,1011,10,24,29,15,1151688.0,1893198.0,2025,2025-03-27,41.862811604,-87.718648209,41.862811604,-87.718648209
13780568,JJ187609,2025-03-19,080Xx S Justine St,1310,Criminal Damage,To Property,Apartment,False,False,612,6,17,71,14,1167400.0,1851498.0,2025,2025-03-27,41.748058925,-87.662166583,41.748058925,-87.662166583
13781485,JJ188863,2025-03-19,016Xx S Lawndale Ave,1582,Offense Involving Children,Child Pornography,Residence,False,False,1014,10,24,29,17,1151971.0,1891495.0,2025,2025-03-27,41.858132809,-87.71765417,41.858132809,-87.71765417
13785265,JJ193226,2025-03-19,002Xx N Parkside Ave,0560,Assault,Simple,School - Public Grounds,False,False,1512,15,29,25,08A,1138552.0,1901156.0,2025,2025-03-27,41.88489739,-87.766676821,41.88489739,-87.766676821
13782250,JJ189866,2025-03-19,060Xx W Berenice Ave,1153,Deceptive Practice,Financial Identity Theft Over $ 300,Residence,False,False,1633,16,38,17,11,1135366.0,1924968.0,2025,2025-03-27,41.950297479,-87.777810092,41.950297479,-87.777810092
13780342,JJ187585,2025-03-19,021Xx S Wabash Ave,1365,Criminal Trespass,To Residence,Apartment,False,False,131,1,3,33,26,1177083.0,1890123.0,2025,2025-03-27,41.853836827,-87.625519566,41.853836827,-87.625519566
13780777,JJ188039,2025-03-19,035Xx S State St,0320,Robbery,Strong Arm - No Weapon,Cta Train,False,False,213,2,3,35,03,1176846.0,1881708.0,2025,2025-03-27,41.830750796,-87.626643572,41.830750796,-87.626643572
13780532,JJ187547,2025-03-19,026Xx W Pershing Rd,0760,Burglary,Burglary From Motor Vehicle,Parking Lot / Garage (Non Residential),False,False,911,9,12,58,06,1159428.0,1878696.0,2025,2025-03-27,41.822860928,-87.690633793,41.822860928,-87.690633793
13782608,JJ189920,2025-03-19,016Xx W Pratt Blvd,1220,Deceptive Practice,Theft Of Lost / Mislaid Property,Other (Specify),False,False,2432,24,49,1,11,1164055.0,1945237.0,2025,2025-03-27,42.005357643,-87.671776202,42.005357643,-87.671776202
13784880,JJ192958,2025-03-19,099Xx S Green St,0910,Motor Vehicle Theft,Automobile,Street,False,False,2232,22,21,73,07,1172400.0,1838874.0,2025,2025-03-27,41.713308436,-87.644215326,41.713308436,-87.644215326
13780636,JJ187773,2025-03-19,013Xx W Walton St,0890,Theft,From Building,Residence,False,False,1213,12,27,24,06,1167140.0,1906464.0,2025,2025-03-27,41.898896929,-87.66154446,41.898896929,-87.66154446
13780716,JJ187551,2025-03-19,003Xx S Central Ave,1310,Criminal Damage,To Property,Apartment,False,False,1522,15,29,25,14,1139107.0,1897980.0,2025,2025-03-27,41.876171958,-87.764716015,41.876171958,-87.764716015
13780382,JJ187515,2025-03-19,011Xx S Clark St,0860,Theft,Retail Theft,Department Store,True,False,123,1,34,32,06,1175696.0,1895352.0,2025,2025-03-27,41.86821682,-87.6304532,41.86821682,-87.6304532
13780328,JJ187498,2025-03-19,007Xx N Ridgeway Ave,2027,Narcotics,Possess - Crack,Alley,True,False,1112,11,27,23,18,1151256.0,1904619.0,2025,2025-03-27,41.894160551,-87.719934404,41.894160551,-87.719934404
